,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9
1,1629608908390,1629609378000,1629609762698,1629616247404,1629616771299,1629617414698,1629622388100,1629623134403,1629623605681
2,1629608904567,1629609374719,1629609763811,1629616248394,1629616772212,1629617418436,1629622389460,1629623135568,1629623606681
3,1629608908331,1629609378106,1629609767648,1629616252120,1629616775280,1629617421666,1629622392476,1629623138761,1629623609592
4,1629608909039,1629609378953,1629609768628,1629616254178,1629616776088,1629617422859,1629622393184,1629623139602,1629623610197
5,1629608918646,1629609389476,1629609779708,1629616267752,1629616789993,1629617434568,1629622402997,1629623149443,1629623620826
6,1629608921094,1629609395673,1629609783520,1629616271162,1629616793261,1629617437047,1629622406850,1629623152459,1629623624063
7,1629522347286,1629522963577,1629524445825,1629528806636,1629529413757,1629529960529,1629533360912,1629534223913,1629534735594
8,1629522349043,1629522964675,1629524447753,1629528807712,1629529415752,1629529961583,1629533362680,1629534225737,1629534736777
9,1629522355358,1629522970765,1629524453832,1629528814641,1629529428576,1629529966483,1629533369423,1629534232404,1629534749423
10,1629522357209,1629522972645,1629524454826,1629528816047,1629529429669,1629529967934,1629533371251,1629534233275,1629534750978
11,1629522369851,1629522982605,1629524466914,1629528827835,1629529439812,1629529978440,1629533383143,1629534244110,1629534761590
12,1629522375495,1629522988282,1629524473999,1629528834088,1629529445531,1629529981585,1629533389023,1629534248410,1629534766862
13,1629610161531,1629610589021,1629610991408,1629617838978,1629618274586,1629618685055,1629623193645,1629623975194,1629624366332
14,1629610163147,1629610590605,1629610992801,1629617840613,1629618276187,1629618686699,1629623195544,1629623977907,1629624367896
15,1629610166353,1629610595875,1629610997439,1629617846003,1629618281752,1629618693487,1629623202517,1629623985739,1629624374960
16,1629610167393,1629610596603,1629610998371,1629617846838,1629618283050,1629618694146,1629623204330,1629623986843,1629624375808
17,1629610179783,1629610604552,1629611005562,1629617855742,1629618291135,1629618702570,1629623212086,1629623994912,1629624385013
18,1629610183135,1629610608059,1629611008431,1629617858808,1629618294176,1629618704791,1629623214961,1629624000471,1629624387623
19,1629464161051,1629464532807,1629464947374,1629469027899,1629469449313,1629470036141,1629473388221,1629473923691,1629474631862
20,1629464162218,1629464533882,1629464948384,1629469029119,1629469450397,1629470037254,1629473389183,1629473925239,1629474633117
21,1629464169161,1629464542387,1629464954912,1629469036098,1629469458607,1629470045429,1629473395763,1629473934267,1629474643127
22,1629464170441,1629464543227,1629464956015,1629469036837,1629469459460,1629470046270,1629473396425,1629473934918,1629474644756
23,1629464183668,1629464554691,1629464968436,1629469052534,1629469472353,1629470059309,1629473412282,1629473949474,1629474658280
24,1629464186403,1629464559756,1629464973082,1629469055707,1629469476375,1629470062628,1629473417310,1629473952657,1629474662397
25,1629718634603,1629719253447,1629719711713,없음,1629724726361,1629725152181,1629729271590,1629729732327,1629730204729
26,1629718636311,1629719255090,1629719713094,1629724267243,1629724727714,1629725154265,1629729273217,1629729733664,1629730206265
27,1629718642634,1629719260308,1629719718524,1629724275103,1629724733781,1629725160030,1629729285740,1629729740546,1629730211710
28,1629718643892,1629719261362,1629719719299,1629724276899,1629724735048,1629725161081,1629729286549,1629729741677,1629730212997
29,1629718655622,1629719271828,1629719731206,1629724289018,1629724747437,1629725171553,1629729299973,1629729754685,1629730224797
30,1629718660265,1629719275864,1629719734846,1629724293963,1629724752165,1629725178177,1629729305645,1629729760204,1629730229790
31,1629635707894,1629636089296,1629636578945,1629641917291,1629642467622,1629642865721,1629645656625,1629646124475,1629646594584
32,1629635709599,1629636090221,1629636579648,1629641918125,1629642469114,1629642867188,1629645657470,1629646125343,1629646595287
33,1629635716624,1629636098156,1629636586755,1629641925634,1629642475683,1629642874486,1629645667627,1629646134306,1629646607091
34,1629635717402,1629636098943,1629636587502,1629641926351,1629642476282,1629642875153,1629645668499,1629646135018,1629646608249
35,1629635733295,1629636105740,1629636593311,1629641935262,1629642485218,1629642885539,1629645676673,1629646144313,1629646617984
36,1629635738390,1629636108784,1629636595906,1629641945958,1629642489188,1629642888155,1629645681683,1629646147268,1629646620808
37,1629717089354,1629717484430,1629717887236,1629722811254,1629723414343,1629724044834,1629729345888,1629729913704,1629730452547
38,1629717091243,1629717486342,1629717889006,1629722812987,1629723416008,1629724046067,1629729347820,1629729915385,1629730454422
39,1629717094679,1629717490241,1629717893242,1629722818758,1629723421532,1629724050595,1629729352695,1629729919372,1629730458718
40,1629717095330,1629717491069,1629717893916,1629722820137,1629723422255,1629724051454,1629729353688,1629729920033,1629730459455
41,1629717106818,1629717502358,1629717907375,1629722833798,1629723435624,1629724061858,1629729369485,1629729936210,1629730471833
42,1629717109502,1629717506198,1629717915706,1629722839758,1629723440133,1629724064619,1629729374585,1629729938622,1629730476122
43,1629803383139,1629803971871,1629804444496,1629808894729,1629809339730,1629810012104,1629813925335,1629814479273,1629814990960
44,1629803384426,1629803973349,1629804445748,1629808896452,1629809340497,1629810013616,1629813926608,1629814480936,1629814992747
45,1629803395275,1629803978898,1629804452309,1629808901696,1629809345588,1629810018498,1629813931377,1629814486121,1629814997419
46,1629803400377,1629803980221,1629804453105,1629808906101,1629809346799,1629810022159,1629813932217,1629814487365,1629814998181
47,1629803409771,1629803991534,1629804464092,1629808915496,1629809360158,1629810030376,1629813945739,1629814499919,1629815009691
48,1629803412680,1629803995440,1629804468033,1629808922127,1629809366261,1629810033960,1629813951303,1629814503442,1629815014432
49,1629776258941,1629776762148,1629777283219,1629781614733,1629782183250,1629782632543,1629785083827,1629785566313,1629786178208
50,1629776260406,1629776764076,1629777283869,1629781615992,1629782183844,1629782633327,1629785084502,1629785567383,1629786179714
51,1629776272434,1629776769809,1629777290831,1629781623683,1629782189885,1629782642755,1629785089758,1629785572131,1629786186218
52,1629776273078,1629776772336,1629777291994,1629781624623,1629782191152,1629782643832,1629785091154,1629785573304,1629786186933
53,1629776282177,1629776780971,1629777300533,1629781634056,1629782201744,1629782653066,1629785103799,1629785584801,1629786198334
54,1629776286205,1629776785041,1629777304768,1629781638921,1629782206338,1629782656478,1629785108075,1629785587924,1629786203198
55,1629968541751,1629969387714,1629969811453,1629975700172,1629976293014,1629976726190,1629981884651,1629982317804,1629982776787
56,1629968542405,1629969388732,1629969812062,1629975700779,1629976293699,1629976726773,1629981886166,1629982318541,1629982777605
57,1629968548868,1629969394924,1629969818362,1629975707521,1629976299373,1629976733172,1629981893741,1629982325866,1629982784146
58,1629968556151,1629969402265,1629969823250,1629975711854,1629976305126,1629976739529,1629981895249,1629982330824,1629982791095
59,1629968564284,1629969409899,1629969831482,1629975722895,1629976315614,1629976749219,1629981910499,1629982339649,1629982798722
60,1629968568817,1629969415668,1629969838262,1629975729242,1629976324882,1629976753507,1629981914529,1629982343446,1629982804105
61,1629890080152,1629890876718,1629891618880,1629895544407,1629896487372,1629897747147,1629903374432,1629904479685,1629905116793
62,1629890081094,1629890878287,1629891620214,1629895545016,1629896488682,1629897747985,1629903375612,1629904480586,1629905117878
63,1629890086319,1629890884656,1629891624864,1629895550003,1629896494674,1629897754179,1629903381359,1629904487682,1629905122961
64,1629890087473,1629890885525,1629891625935,1629895550725,1629896495896,1629897755214,1629903388630,1629904488844,1629905123954
65,1629890098032,1629890897240,1629891634731,1629895565368,1629896508777,1629897768622,1629903396509,1629904500521,1629905134349
66,1629890101644,1629890901187,1629891639996,1629895570400,1629896512023,1629897771688,1629903399778,1629904503647,1629905140543
67,1629977740794,1629978352745,1629978715016,1629982739119,1629983167593,1629984403158,1629988087517,1629988538365,1629989467341
68,1629977742423,1629978353661,1629978715980,1629982740794,1629983168496,1629984404578,1629988088347,1629988540169,1629989469332
69,1629977747078,1629978356940,1629978720033,1629982746294,1629983172407,1629984410986,1629988093298,1629988546023,1629989474874
70,1629977748270,1629978358128,1629978721106,1629982747049,1629983173420,1629984411753,1629988094104,1629988547117,1629989475912
